Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,15,11,11,0th,Ian Wright,30
1993,18,17,17,4th,Ian Wright,35
1994,13,12,12,2th,Ian Wright,30
1995,17,12,12,5th,Ian Wright,22
1996,19,11,11,3rd,Ian Wright,30
1997,23,9,9,1st,Dennis Bergkamp,22
1998,22,12,12,2nd,Nicolas Anelka,19
1999,22,7,7,2nd,Thierry Henry,26
2000,20,10,10,2nd,Thierry Henry,22
2001,26,9,9,1st,Thierry Henry,32
2002,23,9,9,2nd,Thierry Henry,32
2003,26,12,12,1st,Thierry Henry,39
2004,25,8,8,2nd,Thierry Henry,30
2005,20,7,7,4th,Thierry Henry,33
2006,19,11,11,4th,Robin van Persie,13
2007,24,11,11,3rd,Emmanuel Adebayor,30
2008,20,12,12,4th,Robin van Persie,20
2009,23,6,6,3rd,Cesc Fàbregas,19
2010,19,11,11,4th,Robin van Persie,22
2011,21,7,7,3rd,Robin van Persie,37
2012,21,10,10,4th,Theo Walcott,21
2013,24,7,7,4th,Olivier Giroud,22
