Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,21,11,11,2nd,Dean Saunders,16
1993,15,12,12,0th,Dean Saunders,16
1994,11,15,15,8th,Dean Saunders,17
1995,18,9,9,4th,Dwight Yorke,25
1996,17,10,10,5th,Dwight Yorke,20
1997,17,6,6,7th,Dwight Yorke,16
1998,15,10,10,6th,Julian Joachim,16
1999,15,13,13,6th,Dion Dublin,16
2000,13,15,15,8th,Dion Dublin,9
2001,12,14,14,8th,Juan Pablo Ángel,16
2002,12,9,9,6th,Dion Dublin,14
2003,15,11,11,6th,Juan Pablo Ángel,23
2004,12,11,11,0th,Juan Pablo Ángel,9
2005,10,12,12,6th,Milan Baroš,12
2006,11,17,17,1th,Gabriel Agbonlahor,10
2007,16,12,12,6th,John Carew,13
2008,17,11,11,6th,John Carew,15
2009,17,13,13,6th,John Carew,17
2010,12,12,12,9th,"Darren Bent
Ashley Young",9
2011,7,17,17,6th,Darren Bent,10
2012,10,11,11,5th,Christian Benteke,23
2013,10,8,8,5th,Christian Benteke,11
