Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,14,14,14,1th,Mick Harford,11
1993,13,12,12,4th,"Gavin Peacock
Mark Stein",14
1994,13,15,15,1th,"Paul Furlong
John Spencer",13
1995,12,14,14,1th,John Spencer,14
1996,16,11,11,6th,Mark Hughes,14
1997,20,3,3,4th,Gianluca Vialli,19
1998,20,15,15,3rd,Gianfranco Zola,15
1999,18,11,11,5th,Tore André Flo,19
2000,17,10,10,6th,Jimmy Floyd Hasselbaink,26
2001,17,13,13,6th,,29
2002,19,10,10,4th,Gianfranco Zola,16
2003,24,7,7,2nd,Jimmy Floyd Hasselbaink,17
2004,29,8,8,1st,Frank Lampard,19
2005,29,4,4,1st,,20
2006,24,11,11,2nd,Didier Drogba,33
2007,25,10,10,2nd,Frank Lampard,20
2008,25,8,8,3rd,Nicolas Anelka,25
2009,27,5,5,1st,Didier Drogba,37
2010,21,8,8,2nd,Nicolas Anelka,16
2011,18,10,10,6th,Frank Lampard,16
2012,22,9,9,3rd,Fernando Torres,22
2013,25,7,7,3rd,Eden Hazard,17
