Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,15,8,17,13,T. Cottee (13),20
1993,12,8,22,17,T. Cottee (19),22
1994,12,17,14,15,P. Rideout (16),31
1995,17,10,11,6,A. Kanchelskis (16),35
1996,10,12,16,15,"D. Ferguson (11),
G. Speed (11)",36
1997,9,13,16,17,D. Ferguson (11),35
1998,11,10,17,14,K. Campbell (9),34
1999,12,14,12,13,K. Campbell (12),34
2000,11,9,18,16,K. Campbell (10),34
2001,11,10,17,15,D. Ferguson (8),34
2002,17,8,13,7,K. Campbell (12),38
2003,9,12,17,17,"D. Ferguson (9),
W. Rooney (9)",38
2004,18,7,13,4,T. Cahill (12),36
2005,14,8,16,11,J. Beattie (11),36
2006,15,13,10,6,A. Johnson (12),36
2007,19,8,11,5,Yakubu (21),36
2008,17,12,9,5,"T. Cahill
M. Fellaini (9)",35
2009,16,13,9,8,L. Saha (15),36
2010,13,15,10,7,"J. Beckford
L. Saha (10)",36
2011,15,11,12,7,N. Jelavić (11),33
2012,16,15,7,6,M. Fellaini (12),36
2013,21,9,8,5,R. Lukaku (16),37
