Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,16,11,11,6th,Ian Rush,22
1993,17,9,9,8th,Ian Rush,19
1994,21,11,11,4th,Robbie Fowler,31
1995,20,11,11,3rd,Robbie Fowler,36
1996,19,11,11,4th,Robbie Fowler,31
1997,18,11,11,3rd,Michael Owen,23
1998,15,9,9,7th,Michael Owen,23
1999,19,10,10,4th,Michael Owen,12
2000,20,9,9,3rd,Michael Owen,24
2001,24,8,8,2nd,Michael Owen,29
2002,18,10,10,5th,Michael Owen,28
2003,16,12,12,4th,Michael Owen,19
2004,17,7,7,5th,Milan Baroš,13
2005,25,7,7,3rd,Steven Gerrard,23
2006,20,8,8,3rd,Peter Crouch,18
2007,21,13,13,4th,Fernando Torres,33
2008,25,11,11,2nd,Steven Gerrard,24
2009,18,9,9,7th,Fernando Torres,22
2010,17,7,7,6th,Dirk Kuyt,15
2011,14,10,10,8th,Luis Suárez,17
2012,16,13,13,7th,Luis Suárez,30
2013,26,6,6,2nd,Luis Suárez,31
