Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,15,12,12,9th,David White,19
1993,9,18,18,6th,"Niall Quinn
Mike Sheron",6
1994,12,13,13,7th,Uwe Rösler,22
1995,9,11,11,8th,Uwe Rösler,13
2000,8,10,10,8th,Shaun Goater,11
2002,15,6,6,9th,Nicolas Anelka,14
2003,9,14,14,6th,Nicolas Anelka,24
2004,13,13,13,8th,"Robbie Fowler
Shaun Wright-Phillips",11
2005,13,4,4,5th,"Andrew Cole
Darius Vassell",10
2006,11,9,9,4th,Joey Barton,7
2007,15,10,10,9th,Elano,10
2008,15,5,5,0th,Robinho,15
2009,18,13,13,5th,Carlos Tévez,29
2010,21,8,8,3rd,Carlos Tévez,23
2011,28,5,5,1st,Sergio Agüero,30
2012,23,9,9,2nd,"Carlos Tévez
Sergio Agüero",17
2013,27,5,5,1st,Sergio Agüero,28
