Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1993,23,8,8,3rd,Andy Cole,41
1994,20,12,12,6th,Andy Cole,15
1995,24,6,6,2nd,Les Ferdinand,29
1996,19,11,11,2nd,Alan Shearer,28
1997,11,11,11,3th,"John Barnes
Alan Shearer",7
1998,11,13,13,3th,Alan Shearer,21
1999,14,10,10,1th,Alan Shearer,30
2000,14,9,9,1th,"Carl Cort
Alan Shearer
Nolberto Solano",7
2001,21,8,8,4th,Alan Shearer,27
2002,21,6,6,3rd,Alan Shearer,25
2003,13,17,17,5th,Alan Shearer,28
2004,10,14,14,4th,Alan Shearer,19
2005,17,7,7,7th,Alan Shearer,14
2006,11,10,10,3th,Obafemi Martins,17
2007,11,10,10,2th,Michael Owen,13
2008,7,13,13,8th,Michael Owen,10
2010,11,13,13,2th,Kevin Nolan,12
2011,19,8,8,5th,Demba Ba,16
2012,11,8,8,6th,Demba Ba,13
2013,15,4,4,0th,Loïc Rémy,14
