Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1996,10,10,10,8th,"Craig Russell
Paul Stewart",4
1999,16,10,10,7th,Kevin Phillips,30
2000,15,12,12,7th,Kevin Phillips,14
2001,10,10,10,7th,Kevin Phillips,11
2002,4,7,7,0th,Kevin Phillips,6
2005,3,6,6,0th,"Liam Lawrence
Anthony Le Tallec
Tommy Miller
Dean Whitehead",3
2007,11,6,6,5th,Kenwyne Jones,7
2008,9,9,9,6th,"Djibril Cissé
Kenwyne Jones",10
2009,11,11,11,3th,Darren Bent,25
2010,12,11,11,0th,Asamoah Gyan,10
2011,11,12,12,3th,Nicklas Bendtner,8
2012,9,12,12,7th,Steven Fletcher,11
2013,10,8,8,4th,Adam Johnson,8
